make,model,year,mileage,Mileage condition,price,Price level,color,state,price condition,color condition,price value condition,mileage color condition
Ford,Altima,2010,10284,BETTER,35653,Level4,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2015,10303,BETTER,25373,Level3,red,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2015,10338,BETTER,46394,Level5,white,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2018,10524,BETTER,12529,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2012,10603,BETTER,43674,Level5,white,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2016,10746,BETTER,10719,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2012,10838,BETTER,46879,Level5,white,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2016,11007,BETTER,10037,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2010,11108,BETTER,27744,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2013,11254,BETTER,38759,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Altima,2012,11388,BETTER,44920,Level5,blue,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2018,11522,BETTER,19083,Level2,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2012,11795,BETTER,30494,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,11826,BETTER,15233,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Fusion,2010,11982,BETTER,37310,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,12039,BETTER,45041,Level5,black,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2016,12078,BETTER,22661,Level3,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2018,12079,BETTER,49217,Level5,silver,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2011,12147,BETTER,24688,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2010,12159,BETTER,36923,Level4,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2018,12416,BETTER,32626,Level4,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2012,12602,BETTER,23578,Level3,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,12636,BETTER,20570,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2010,12725,BETTER,49989,Level5,red,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2015,13040,BETTER,11644,Level2,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2017,13043,BETTER,41413,Level5,white,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2010,13245,BETTER,49884,Level5,blue,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2015,13250,BETTER,28707,Level3,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2010,13299,BETTER,28940,Level3,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2012,13339,BETTER,31772,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Camry,2013,13377,BETTER,31403,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2015,13455,BETTER,10022,Level2,silver,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Cruze,2012,13488,BETTER,44090,Level5,silver,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2015,13593,BETTER,47805,Level5,black,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,13677,BETTER,29954,Level3,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2012,13828,BETTER,23405,Level3,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2014,13850,BETTER,28979,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2016,13925,BETTER,11789,Level2,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2010,13941,BETTER,18722,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Altima,2015,13954,BETTER,14794,Level2,silver,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2012,14180,BETTER,37178,Level4,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2014,14184,BETTER,13957,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2011,14481,BETTER,49998,Level5,red,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2013,14489,BETTER,27512,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2017,14492,BETTER,37890,Level4,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2016,14572,BETTER,29932,Level3,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2011,14579,BETTER,15367,Level2,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2010,14607,BETTER,25740,Level3,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2010,14612,BETTER,40669,Level5,blue,FL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2010,14612,BETTER,41832,Level5,blue,IL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2013,14718,BETTER,27729,Level3,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2010,14718,BETTER,40949,Level5,red,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2013,14868,BETTER,14767,Level2,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2018,14870,BETTER,30989,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,14908,BETTER,23603,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2015,15089,BETTER,13881,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2017,15177,BETTER,12947,Level2,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2012,15306,BETTER,32734,Level4,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2016,15389,BETTER,25824,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2017,15737,BETTER,11435,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2010,15787,BETTER,21754,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2014,15804,BETTER,48082,Level5,silver,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2017,15878,BETTER,33520,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Accord,2011,15912,BETTER,38450,Level4,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2016,15999,BETTER,19003,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2018,16069,BETTER,24439,Level3,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2011,16125,BETTER,10427,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2010,16407,BETTER,46581,Level5,silver,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2018,16417,BETTER,38167,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2010,16598,BETTER,48900,Level5,silver,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2011,16646,BETTER,10439,Level2,blue,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Fusion,2018,16860,BETTER,45236,Level5,red,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2015,16957,BETTER,37880,Level4,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2015,17092,BETTER,16903,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2015,17201,BETTER,15484,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2016,17417,BETTER,30832,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2011,17506,BETTER,17183,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Altima,2012,17511,BETTER,49787,Level5,black,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,17515,BETTER,31659,Level4,blue,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Altima,2012,17547,BETTER,47126,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2014,17610,BETTER,22362,Level3,white,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Accord,2015,17637,BETTER,29111,Level3,black,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Cruze,2015,17744,BETTER,36172,Level4,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2010,18030,BETTER,32184,Level4,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2011,18160,BETTER,20903,Level3,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Camry,2015,18206,BETTER,49971,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2018,18274,BETTER,20199,Level3,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2012,18448,BETTER,31651,Level4,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2018,18472,BETTER,39237,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2014,18563,BETTER,16523,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2017,18722,BETTER,45798,Level5,silver,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2016,18833,BETTER,19160,Level2,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2010,19018,BETTER,31801,Level4,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2011,19103,BETTER,19740,Level2,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2012,19202,BETTER,26727,Level3,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2012,19214,BETTER,29632,Level3,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2013,19298,BETTER,12151,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2017,19474,BETTER,26400,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2013,19659,BETTER,39774,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2018,19715,BETTER,36399,Level4,blue,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2014,19779,BETTER,10039,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Cruze,2011,19845,BETTER,31425,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2017,19882,BETTER,34176,Level4,red,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Camry,2011,20205,BETTER,25546,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,20374,BETTER,32248,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2011,20400,BETTER,26454,Level3,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2012,20543,BETTER,41558,Level5,silver,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2016,20713,BETTER,43452,Level5,white,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2013,20731,BETTER,49875,Level5,silver,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2010,20771,BETTER,13804,Level2,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2010,20774,BETTER,10312,Level2,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2015,20789,BETTER,45564,Level5,silver,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2018,20835,BETTER,25712,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2015,20853,BETTER,29465,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2013,20860,BETTER,42545,Level5,red,IL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2015,20991,BETTER,31631,Level4,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2012,21141,BETTER,10372,Level2,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2011,21252,BETTER,34768,Level4,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2010,21277,BETTER,39841,Level4,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2014,21291,BETTER,30582,Level4,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2011,21308,BETTER,18800,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2011,21653,BETTER,24181,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2011,21855,BETTER,30217,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Cruze,2015,21945,BETTER,22364,Level3,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2013,22030,BETTER,45530,Level5,white,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2017,22225,BETTER,30949,Level4,white,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Cruze,2017,22650,BETTER,21426,Level3,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2018,22734,BETTER,16436,Level2,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2011,22766,BETTER,29061,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2012,23167,BETTER,18170,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2013,23197,BETTER,20778,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2011,23290,BETTER,13056,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2015,23314,BETTER,36571,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2010,23354,BETTER,34836,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2018,23531,BETTER,13192,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2010,23681,BETTER,49199,Level5,black,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2017,23744,BETTER,10359,Level2,silver,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2011,23828,BETTER,17561,Level2,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,24050,BETTER,30188,Level4,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,24083,BETTER,12852,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2014,24470,BETTER,30887,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2015,24480,BETTER,20593,Level3,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2010,24517,BETTER,42874,Level5,silver,IL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2018,24635,BETTER,15163,Level2,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2010,24728,BETTER,25142,Level3,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2014,24884,BETTER,28748,Level3,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Accord,2010,24981,BETTER,26856,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Camry,2010,25031,BEST,24719,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2018,25035,BEST,22205,Level3,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2013,25091,BEST,13960,Level2,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2010,25104,BEST,10696,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2013,25133,BEST,26020,Level3,blue,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Altima,2017,25154,BEST,43139,Level5,red,FL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2013,25360,BEST,38818,Level4,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2015,25405,BEST,35867,Level4,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2010,25466,BEST,19036,Level2,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2016,25501,BEST,37535,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,25716,BEST,10091,Level2,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,25765,BEST,16753,Level2,red,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Accord,2012,25841,BEST,39644,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2014,25844,BEST,49871,Level5,red,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2014,25925,BEST,49763,Level5,red,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2015,26405,BEST,23696,Level3,black,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2010,26605,BEST,46265,Level5,black,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2017,26619,BEST,41902,Level5,red,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2010,26672,BEST,21328,Level3,white,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2018,26933,BEST,21813,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2018,26945,BEST,19806,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2012,27076,BEST,13663,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2018,27116,BEST,21468,Level3,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2011,27215,BEST,48441,Level5,red,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2013,27268,BEST,29146,Level3,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2016,27900,BEST,13882,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2012,27905,BEST,43169,Level5,black,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2010,27932,BEST,16432,Level2,black,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Accord,2013,28012,BEST,19212,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2012,28559,BEST,28207,Level3,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2011,28593,BEST,27316,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2010,28682,BEST,12481,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Cruze,2016,28854,BEST,11583,Level2,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2011,29008,BEST,30488,Level4,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2013,29013,BEST,24633,Level3,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2011,29201,BEST,15559,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2014,29235,BEST,38523,Level4,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2012,29329,BEST,25319,Level3,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2015,29359,BEST,46739,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2014,29361,BEST,33129,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2018,30045,BEST,10818,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2012,30177,BEST,15581,Level2,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2013,30306,BEST,36530,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2010,30378,BEST,46952,Level5,silver,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2016,30406,BEST,49110,Level5,blue,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,30430,BEST,45372,Level5,black,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2016,30560,BEST,30130,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2013,30849,BEST,17482,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2015,30860,BEST,20084,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2013,30864,BEST,13811,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2014,30864,BEST,48873,Level5,black,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2016,31139,BEST,12166,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2012,31256,BEST,28439,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2014,31450,BEST,37093,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2012,31459,BEST,32163,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
