make,model,year,mileage,Mileage condition,price,Price level,color,state,price condition,color condition,price value condition,mileage color condition
Toyota,Camry,2015,31509,BEST,45668,Level5,white,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2011,31723,BEST,25427,Level3,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2010,31887,BEST,15790,Level2,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2015,31907,BEST,28292,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2010,31949,BEST,46335,Level5,silver,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2017,31998,BEST,24529,Level3,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2013,32028,BEST,19385,Level2,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2017,32078,BEST,22534,Level3,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2014,32167,BEST,27336,Level3,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2015,32245,BEST,46032,Level5,silver,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2015,32626,BEST,35991,Level4,black,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2018,32730,BEST,35839,Level4,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2017,32758,BEST,26289,Level3,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2015,32834,BEST,17855,Level2,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2010,32856,BEST,27073,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2018,32892,BEST,41914,Level5,silver,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2018,32930,BEST,42285,Level5,red,IL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2017,32959,BEST,30744,Level4,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2018,33094,BEST,19870,Level2,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2012,33123,BEST,12328,Level2,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2013,33127,BEST,26736,Level3,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2017,33161,BEST,21365,Level3,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2010,33224,BEST,33353,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2011,33225,BEST,19572,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2012,33296,BEST,17167,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2017,33364,BEST,25338,Level3,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2017,33388,BEST,15359,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2016,33463,BEST,45999,Level5,blue,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2014,33493,BEST,11921,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,33586,BEST,18507,Level2,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2017,33598,BEST,29734,Level3,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2012,33608,BEST,15420,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2017,33834,BEST,23886,Level3,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2014,33947,BEST,37357,Level4,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2017,34037,BEST,32689,Level4,white,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Cruze,2013,34051,BEST,28243,Level3,black,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2018,34074,BEST,34333,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2010,34075,BEST,38020,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2013,34137,BEST,10529,Level2,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2016,34172,BEST,46266,Level5,red,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2013,34269,BEST,14146,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2012,34280,BEST,48619,Level5,red,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2017,34308,BEST,19112,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2012,34351,BEST,17846,Level2,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2017,34432,BEST,35864,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2015,34463,BEST,14014,Level2,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2011,34825,BEST,23254,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2014,34917,BEST,40133,Level5,black,FL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2010,35211,BEST,24221,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2010,35263,BEST,27678,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,35269,BEST,13976,Level2,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2018,35323,BEST,26984,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2016,35405,BEST,26922,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2010,35552,BEST,33378,Level4,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2016,35656,BEST,15820,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2013,35840,BEST,44838,Level5,silver,IL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2013,35849,BEST,36146,Level4,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2013,35962,BEST,21950,Level3,red,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Fusion,2015,36358,BEST,40823,Level5,blue,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2017,36557,BEST,26337,Level3,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2018,36590,BEST,45805,Level5,white,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2018,36610,BEST,24300,Level3,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2011,36640,BEST,41110,Level5,red,CA,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2015,36692,BEST,19594,Level2,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2015,36888,BEST,16802,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2011,37028,BEST,11859,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2012,37108,BEST,11046,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2014,37344,BEST,35309,Level4,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2010,37366,BEST,31932,Level4,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2018,37635,BEST,29967,Level3,white,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Fusion,2010,37641,BEST,31169,Level4,blue,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2013,37644,BEST,10692,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2016,37740,BEST,19351,Level2,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2017,37822,BEST,23085,Level3,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2014,37873,BEST,46229,Level5,white,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2016,37974,BEST,31357,Level4,blue,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Altima,2018,38019,BEST,16844,Level2,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2012,38167,BEST,24342,Level3,white,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Fusion,2015,38358,BEST,46434,Level5,white,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2013,38723,BEST,39412,Level4,red,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2012,38744,BEST,10635,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2018,38769,BEST,36374,Level4,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2014,38847,BEST,49473,Level5,red,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2014,38851,BEST,10247,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2012,39083,BEST,19270,Level2,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2013,39088,BEST,20071,Level3,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2012,39212,BEST,25049,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2011,39503,BEST,21989,Level3,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2010,39521,BEST,19403,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Altima,2015,39523,BEST,14722,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2013,39523,BEST,11628,Level2,black,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Cruze,2010,39566,BEST,15363,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2011,39573,BEST,13265,Level2,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2015,39683,BEST,44269,Level5,black,FL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2014,39789,BEST,23476,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Cruze,2011,40179,Excellent,28301,Level3,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2014,40254,Excellent,34143,Level4,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2014,40278,Excellent,12861,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2015,40289,Excellent,15493,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2011,40408,Excellent,11022,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2010,40619,Excellent,15103,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2012,40801,Excellent,47770,Level5,black,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2016,40834,Excellent,36477,Level4,blue,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Accord,2015,40859,Excellent,29372,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2017,40878,Excellent,45041,Level5,red,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2010,40888,Excellent,33332,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2018,40918,Excellent,33264,Level4,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2016,41013,Excellent,20559,Level3,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2013,41146,Excellent,27168,Level3,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2016,41292,Excellent,25734,Level3,blue,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Fusion,2018,41441,Excellent,26128,Level3,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2017,41481,Excellent,25020,Level3,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2011,41943,Excellent,39729,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2017,42031,Excellent,27236,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Altima,2013,42084,Excellent,24658,Level3,red,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,42174,Excellent,30961,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2018,42181,Excellent,19643,Level2,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2010,42228,Excellent,35497,Level4,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2017,42281,Excellent,38804,Level4,black,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2010,42308,Excellent,19859,Level2,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2013,42349,Excellent,17475,Level2,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2016,42425,Excellent,48936,Level5,blue,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,42568,Excellent,43324,Level5,black,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Accord,2011,42618,Excellent,15403,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2017,42680,Excellent,30367,Level4,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2010,42753,Excellent,20233,Level3,black,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Cruze,2013,42757,Excellent,38837,Level4,white,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Fusion,2017,42872,Excellent,12151,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2011,42937,Excellent,24725,Level3,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2012,43003,Excellent,20362,Level3,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2018,43040,Excellent,15424,Level2,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Accord,2013,43067,Excellent,18228,Level2,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2017,43095,Excellent,45353,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2011,43104,Excellent,18993,Level2,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2012,43151,Excellent,12897,Level2,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2013,43259,Excellent,11786,Level2,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2017,43372,Excellent,17555,Level2,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2012,43439,Excellent,46104,Level5,black,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2010,43630,Excellent,11986,Level2,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2012,43638,Excellent,47241,Level5,silver,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2013,43679,Excellent,41753,Level5,red,FL,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2011,43679,Excellent,25434,Level3,black,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2018,43681,Excellent,40150,Level5,silver,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2015,43742,Excellent,41587,Level5,silver,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2014,43764,Excellent,34087,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2015,43842,Excellent,17690,Level2,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2018,44032,Excellent,22669,Level3,red,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2013,44049,Excellent,47437,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2014,44170,Excellent,24502,Level3,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2017,44337,Excellent,19280,Level2,black,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Honda,Camry,2013,44379,Excellent,36515,Level4,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2012,44400,Excellent,45962,Level5,white,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2011,44403,Excellent,32807,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2010,44589,Excellent,40205,Level5,red,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2012,44599,Excellent,24656,Level3,red,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2014,44613,Excellent,48339,Level5,blue,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2015,44669,Excellent,31552,Level4,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,44743,Excellent,35663,Level4,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2013,44792,Excellent,32496,Level4,white,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2014,44794,Excellent,10135,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Fusion,2017,44843,Excellent,14642,Level2,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Altima,2018,44878,Excellent,47356,Level5,black,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Ford,Fusion,2014,45074,Excellent,23006,Level3,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2012,45104,Excellent,38794,Level4,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2011,45148,Excellent,14041,Level2,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Cruze,2016,45157,Excellent,24604,Level3,blue,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Fusion,2017,45278,Excellent,37901,Level4,red,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2010,45377,Excellent,47370,Level5,blue,IL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2013,45487,Excellent,46341,Level5,silver,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2015,45506,Excellent,19191,Level2,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Cruze,2016,45529,Excellent,46290,Level5,black,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2017,45588,Excellent,16357,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Accord,2015,45721,Excellent,31110,Level4,white,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2016,46099,Excellent,11584,Level2,blue,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Altima,2010,46134,Excellent,44521,Level5,red,TX,FALSE,TRUE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2013,46244,Excellent,26595,Level3,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Fusion,2013,46262,Excellent,44387,Level5,red,IL,FALSE,TRUE,NOT ELIGIBLE,ELIGIBLE
Toyota,Fusion,2011,46281,Excellent,45522,Level5,red,IL,TRUE,TRUE,ELIGIBLE,ELIGIBLE
Ford,Fusion,2014,46403,Excellent,38710,Level4,white,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2011,46570,Excellent,15269,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2018,46644,Excellent,41213,Level5,black,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Cruze,2014,46647,Excellent,28525,Level3,red,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Fusion,2013,46763,Excellent,43572,Level5,blue,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2015,46781,Excellent,10972,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2016,46844,Excellent,42021,Level5,black,CA,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Accord,2016,47031,Excellent,29601,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Fusion,2011,47124,Excellent,30257,Level4,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2010,47125,Excellent,17037,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2011,47165,Excellent,14283,Level2,white,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2018,47264,Excellent,12039,Level2,red,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Cruze,2018,47336,Excellent,11769,Level2,black,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Camry,2010,47454,Excellent,21131,Level3,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2010,47494,Excellent,18680,Level2,blue,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2012,47575,Excellent,40248,Level5,silver,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2014,47978,Excellent,20689,Level3,red,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Accord,2011,48039,Excellent,43219,Level5,white,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Cruze,2011,48055,Excellent,12302,Level2,white,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2011,48131,Excellent,30325,Level4,silver,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2014,48184,Excellent,26173,Level3,red,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Camry,2011,48230,Excellent,30697,Level4,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2013,48418,Excellent,47104,Level5,blue,CA,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Camry,2012,48518,Excellent,39646,Level4,red,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
