,,,,,,,
,,,x,no of runs,,,
,,,y,no of wickets,,,
,,,,,,,
Clustering,,,,,,,
,Customer spending behaviour,,,,,Cricket dataset example,
,,,,,,,
,Low Spenders,Medium Spenders,High Spenders,,,,
,This group consists of customers who spend the least across various categories. They may be budget-conscious or have limited purchasing power.,These customers spend moderately across different categories. They are likely to make regular purchases but may not indulge in high-end or luxury items frequently.,This cluster comprises customers who consistently spend significantly more across all categories. They may be affluent individuals or businesses with high purchasing power.,,,,
Recommendations,"1.Offer budget-friendly products or services tailored to their needs.
2.Implement loyalty programs or discounts to encourage repeat purchases.
3.Focus on cost-effective marketing channels to reach this segment effectively.","1.Provide personalized recommendations based on their past purchases or preferences.
2.Offer incentives for upselling or cross-selling to increase their average spending.","1.Provide exclusive or limited-edition products/services to cater to their taste for exclusivity.
2.Offer personalized concierge services or VIP experiences to enhance their customer journey.
3.Build strong relationships through loyalty programs, personalized communication, and exceptional customer service.",,,,
,,,,,,,
,,,,,,,
KMeans Steps,,,,,K,2,
1,Randomly assign k cluster centers anywhere in the hyperplane,,,,"C1 - (3,5)","C2 - (11,13)",
2,Compute distance from each cluster center to all other data points,,,,,,
3,Assign Each data point to the nearest cluster center,,,Data point,Dist to C1,Dist to C2,Assigned Cluster
4,Update cluster center - ?,,,"(2,4)",1.41,10.63,C1
,,,,"(3,5)",0,10.63,C1
,,,,"(4,6)",1.41,9.43,C1
http://tech.nitoyon.com/en/blog/2013/11/07/k-means/,,,,"(10,12)",8.06,1.41,C2
,,,,"(11,13)",9.43,0,C2
,,,,"(12,14)",10.63,1.41,C2
,,,,,,,
,,,,New centroid for cluster1,,New centroid for cluster 2,
,,,,"((2+3+4)/3,(4+5+6)/3)",,,
,,,,"(3,5)",,"(11,13)",
,,,,,,,
,,,,,,,
,,,,,,,
Elbow method,Based on WCSS/SSE,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ideal cluster,,,,,,,
,,,,,,,
Intra cluster distance,min,,,,,,
Inter cluster distance,max,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dunn Index,,,,,,,
,,,,,,,
Inter distance,distance b/w 2 clusters,?,,,,,
Intra distance,distance within a cluster,?,,,,,
,,,,,,,
,D = min(Inter cluster distance) / max(Intra cluster distance),,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Silhoutte Score,,,,,,,
,"S = (b-a)/max(a,b)",,,,,,
,,,,,,,
,a,Avg dist. of a point to other points within it's own cluster.,,Intra distance,,,
,b,Avg dist. of a point to all other points to it's nearest cluster,,Inter cluster distance,,,
,,,,,,,
,-1 to +1,,,,,,
,Ideal cluster - towards 1,,,,,,